Symbol,Date,Close
META,1/5/2018 16:00:00,186.85
META,1/8/2018 16:00:00,188.28
META,1/9/2018 16:00:00,187.87
META,1/10/2018 16:00:00,187.84
META,1/11/2018 16:00:00,187.77
META,1/12/2018 16:00:00,179.37
META,1/16/2018 16:00:00,178.39
META,1/17/2018 16:00:00,177.6
META,1/18/2018 16:00:00,179.8
META,1/19/2018 16:00:00,181.29
META,1/22/2018 16:00:00,185.37
META,1/23/2018 16:00:00,189.35
META,1/24/2018 16:00:00,186.55
META,1/25/2018 16:00:00,187.48
META,1/26/2018 16:00:00,190
META,1/29/2018 16:00:00,185.98
META,1/30/2018 16:00:00,187.12
META,1/31/2018 16:00:00,186.89
META,2/1/2018 16:00:00,193.09
META,2/2/2018 16:00:00,190.28
META,2/5/2018 16:00:00,181.26
META,2/6/2018 16:00:00,185.31
META,2/7/2018 16:00:00,180.18
META,2/8/2018 16:00:00,171.58
META,2/9/2018 16:00:00,176.11
META,2/12/2018 16:00:00,176.41
META,2/13/2018 16:00:00,173.15
META,2/14/2018 16:00:00,179.52
META,2/15/2018 16:00:00,179.96
META,2/16/2018 16:00:00,177.36
META,2/20/2018 16:00:00,176.01
META,2/21/2018 16:00:00,177.91
META,2/22/2018 16:00:00,178.99
META,2/23/2018 16:00:00,183.29
META,2/26/2018 16:00:00,184.93
META,2/27/2018 16:00:00,181.46
META,2/28/2018 16:00:00,178.32
META,3/1/2018 16:00:00,175.94
META,3/2/2018 16:00:00,176.62
META,3/5/2018 16:00:00,180.4
META,3/6/2018 16:00:00,179.78
META,3/7/2018 16:00:00,183.71
META,3/8/2018 16:00:00,182.34
META,3/9/2018 16:00:00,185.23
META,3/12/2018 16:00:00,184.76
META,3/13/2018 16:00:00,181.88
META,3/14/2018 16:00:00,184.19
META,3/15/2018 16:00:00,183.86
META,3/16/2018 16:00:00,185.09
META,3/19/2018 16:00:00,172.56
META,3/20/2018 16:00:00,168.15
META,3/21/2018 16:00:00,169.39
META,3/22/2018 16:00:00,164.89
META,3/23/2018 16:00:00,159.39
META,3/26/2018 16:00:00,160.06
META,3/27/2018 16:00:00,152.22
META,3/28/2018 16:00:00,153.03
META,3/29/2018 16:00:00,159.79
META,4/2/2018 16:00:00,155.39
META,4/3/2018 16:00:00,156.11
META,4/4/2018 16:00:00,155.1
META,4/5/2018 16:00:00,159.34
META,4/6/2018 16:00:00,157.2
META,4/9/2018 16:00:00,157.93
META,4/10/2018 16:00:00,165.04
META,4/11/2018 16:00:00,166.32
META,4/12/2018 16:00:00,163.87
META,4/13/2018 16:00:00,164.52
META,4/16/2018 16:00:00,164.83
META,4/17/2018 16:00:00,168.66
META,4/18/2018 16:00:00,166.36
META,4/19/2018 16:00:00,168.1
