Symbol,Date,Close,,,
AMZN,1/5/2018 16:00,61.46,,Row Labels,Sum of Close
AMZN,1/8/2018 16:00,62.34,,AMZN,20654.34
AMZN,1/9/2018 16:00,62.64,,META,42904.2
AMZN,1/10/2018 16:00,62.72,,TSLA,5308.5
AMZN,1/11/2018 16:00,63.83,,Grand Total,68867.04
AMZN,1/12/2018 16:00,65.26,,,
AMZN,1/16/2018 16:00,65.24,,,
AMZN,1/17/2018 16:00,64.75,,,
AMZN,1/18/2018 16:00,64.67,,,
AMZN,1/19/2018 16:00,64.73,,,
AMZN,1/22/2018 16:00,66.37,,,
AMZN,1/23/2018 16:00,68.13,,,
AMZN,1/24/2018 16:00,67.88,,,
AMZN,1/25/2018 16:00,68.9,,,
AMZN,1/26/2018 16:00,70.1,,,
AMZN,1/29/2018 16:00,70.88,,,
AMZN,1/30/2018 16:00,71.89,,,
AMZN,1/31/2018 16:00,72.54,,,
AMZN,2/1/2018 16:00,69.5,,,
AMZN,2/2/2018 16:00,71.5,,,
AMZN,2/5/2018 16:00,69.5,,,
AMZN,2/6/2018 16:00,72.14,,,
AMZN,2/7/2018 16:00,70.84,,,
AMZN,2/8/2018 16:00,67.53,,,
AMZN,2/9/2018 16:00,66.98,,,
AMZN,2/12/2018 16:00,69.31,,,
AMZN,2/13/2018 16:00,70.73,,,
AMZN,2/14/2018 16:00,72.55,,,
AMZN,2/15/2018 16:00,73.09,,,
AMZN,2/16/2018 16:00,72.43,,,
AMZN,2/20/2018 16:00,73.42,,,
AMZN,2/21/2018 16:00,74.15,,,
AMZN,2/22/2018 16:00,74.27,,,
AMZN,2/23/2018 16:00,75,,,
AMZN,2/26/2018 16:00,76.1,,,
AMZN,2/27/2018 16:00,75.6,,,
AMZN,2/28/2018 16:00,75.62,,,
AMZN,3/1/2018 16:00,74.67,,,
AMZN,3/2/2018 16:00,75.01,,,
AMZN,3/5/2018 16:00,76.18,,,
AMZN,3/6/2018 16:00,76.88,,,
AMZN,3/7/2018 16:00,77.25,,,
AMZN,3/8/2018 16:00,77.59,,,
AMZN,3/9/2018 16:00,78.94,,,
AMZN,3/12/2018 16:00,79.92,,,
AMZN,3/13/2018 16:00,79.41,,,
AMZN,3/14/2018 16:00,79.55,,,
AMZN,3/15/2018 16:00,79.12,,,
AMZN,3/16/2018 16:00,78.58,,,
AMZN,3/19/2018 16:00,77.25,,,
AMZN,3/20/2018 16:00,79.33,,,
