Symbol,Date,Close
TSLA,1/5/2018 16:00:00,21.11
TSLA,1/8/2018 16:00:00,22.43
TSLA,1/9/2018 16:00:00,22.25
TSLA,1/10/2018 16:00:00,22.32
TSLA,1/11/2018 16:00:00,22.53
TSLA,1/12/2018 16:00:00,22.41
TSLA,1/16/2018 16:00:00,22.67
TSLA,1/17/2018 16:00:00,23.14
TSLA,1/18/2018 16:00:00,22.97
TSLA,1/19/2018 16:00:00,23.33
TSLA,1/22/2018 16:00:00,23.44
TSLA,1/23/2018 16:00:00,23.52
TSLA,1/24/2018 16:00:00,23.06
TSLA,1/25/2018 16:00:00,22.51
TSLA,1/26/2018 16:00:00,22.86
TSLA,1/29/2018 16:00:00,23.3
TSLA,1/30/2018 16:00:00,23.05
TSLA,1/31/2018 16:00:00,23.62
TSLA,2/1/2018 16:00:00,23.28
TSLA,2/2/2018 16:00:00,22.92
TSLA,2/5/2018 16:00:00,22.21
TSLA,2/6/2018 16:00:00,22.26
TSLA,2/7/2018 16:00:00,23
TSLA,2/8/2018 16:00:00,21.02
TSLA,2/9/2018 16:00:00,20.69
TSLA,2/12/2018 16:00:00,21.05
TSLA,2/13/2018 16:00:00,21.58
TSLA,2/14/2018 16:00:00,21.49
TSLA,2/15/2018 16:00:00,22.27
TSLA,2/16/2018 16:00:00,22.37
TSLA,2/20/2018 16:00:00,22.32
TSLA,2/21/2018 16:00:00,22.22
TSLA,2/22/2018 16:00:00,23.08
TSLA,2/23/2018 16:00:00,23.47
TSLA,2/26/2018 16:00:00,23.83
TSLA,2/27/2018 16:00:00,23.4
TSLA,2/28/2018 16:00:00,22.87
TSLA,3/1/2018 16:00:00,22.06
TSLA,3/2/2018 16:00:00,22.34
TSLA,3/5/2018 16:00:00,22.22
TSLA,3/6/2018 16:00:00,21.88
TSLA,3/7/2018 16:00:00,22.15
TSLA,3/8/2018 16:00:00,21.94
TSLA,3/9/2018 16:00:00,21.81
TSLA,3/12/2018 16:00:00,23.03
TSLA,3/13/2018 16:00:00,22.79
TSLA,3/14/2018 16:00:00,21.78
TSLA,3/15/2018 16:00:00,21.71
TSLA,3/16/2018 16:00:00,21.42
TSLA,3/19/2018 16:00:00,20.9
TSLA,3/20/2018 16:00:00,20.7
TSLA,3/21/2018 16:00:00,21.1
TSLA,3/22/2018 16:00:00,20.61
TSLA,3/23/2018 16:00:00,20.1
TSLA,3/26/2018 16:00:00,20.28
TSLA,3/27/2018 16:00:00,18.61
TSLA,3/28/2018 16:00:00,17.19
TSLA,3/29/2018 16:00:00,17.74
TSLA,4/2/2018 16:00:00,16.83
TSLA,4/3/2018 16:00:00,17.84
TSLA,4/4/2018 16:00:00,19.13
TSLA,4/5/2018 16:00:00,20.38
TSLA,4/6/2018 16:00:00,19.95
TSLA,4/9/2018 16:00:00,19.31
TSLA,4/10/2018 16:00:00,20.31
TSLA,4/11/2018 16:00:00,20.06
TSLA,4/12/2018 16:00:00,19.61
TSLA,4/13/2018 16:00:00,20.02
TSLA,4/16/2018 16:00:00,19.41
TSLA,4/17/2018 16:00:00,19.18
TSLA,4/18/2018 16:00:00,19.56
TSLA,4/19/2018 16:00:00,20.01
TSLA,4/20/2018 16:00:00,19.35
TSLA,4/23/2018 16:00:00,18.89
TSLA,4/24/2018 16:00:00,18.9
TSLA,4/25/2018 16:00:00,18.71
TSLA,4/26/2018 16:00:00,19.03
TSLA,4/27/2018 16:00:00,19.61
TSLA,4/30/2018 16:00:00,19.59
TSLA,5/1/2018 16:00:00,19.99
TSLA,5/2/2018 16:00:00,20.08
TSLA,5/3/2018 16:00:00,18.96
TSLA,5/4/2018 16:00:00,19.61
TSLA,5/7/2018 16:00:00,20.18
TSLA,5/8/2018 16:00:00,20.13
TSLA,5/9/2018 16:00:00,20.46
TSLA,5/10/2018 16:00:00,20.33
TSLA,5/11/2018 16:00:00,20.07
TSLA,5/14/2018 16:00:00,19.46
TSLA,5/15/2018 16:00:00,18.95
TSLA,5/16/2018 16:00:00,19.1
TSLA,5/17/2018 16:00:00,18.97
TSLA,5/18/2018 16:00:00,18.97
TSLA,5/21/2018 16:00:00,18.97
TSLA,5/22/2018 16:00:00,18.33
TSLA,5/23/2018 16:00:00,18.6
TSLA,5/24/2018 16:00:00,18.52
TSLA,5/25/2018 16:00:00,18.59
TSLA,5/29/2018 16:00:00,18.92
TSLA,5/30/2018 16:00:00,19.45
TSLA,5/31/2018 16:00:00,18.98
TSLA,6/1/2018 16:00:00,19.45
TSLA,6/4/2018 16:00:00,19.78
TSLA,6/5/2018 16:00:00,19.41
TSLA,6/6/2018 16:00:00,21.3
TSLA,6/7/2018 16:00:00,21.07
TSLA,6/8/2018 16:00:00,21.18
TSLA,6/11/2018 16:00:00,22.14
TSLA,6/12/2018 16:00:00,22.85
TSLA,6/13/2018 16:00:00,22.99
TSLA,6/14/2018 16:00:00,23.85
TSLA,6/15/2018 16:00:00,23.88
TSLA,6/18/2018 16:00:00,24.72
TSLA,6/19/2018 16:00:00,23.5
TSLA,6/20/2018 16:00:00,24.15
TSLA,6/21/2018 16:00:00,23.17
TSLA,6/22/2018 16:00:00,22.24
TSLA,6/25/2018 16:00:00,22.2
TSLA,6/26/2018 16:00:00,22.8
TSLA,6/27/2018 16:00:00,22.97
TSLA,6/28/2018 16:00:00,23.33
TSLA,6/29/2018 16:00:00,22.86
TSLA,7/2/2018 16:00:00,22.34
TSLA,7/3/2018 13:00:00,20.72
TSLA,7/5/2018 16:00:00,20.61
TSLA,7/6/2018 16:00:00,20.59
TSLA,7/9/2018 16:00:00,21.23
TSLA,7/10/2018 16:00:00,21.5
TSLA,7/11/2018 16:00:00,21.26
TSLA,7/12/2018 16:00:00,21.11
TSLA,7/13/2018 16:00:00,21.26
TSLA,7/16/2018 16:00:00,20.67
TSLA,7/17/2018 16:00:00,21.51
TSLA,7/18/2018 16:00:00,21.59
TSLA,7/19/2018 16:00:00,21.35
TSLA,7/20/2018 16:00:00,20.91
TSLA,7/23/2018 16:00:00,20.21
TSLA,7/24/2018 16:00:00,19.83
TSLA,7/25/2018 16:00:00,20.58
TSLA,7/26/2018 16:00:00,20.44
TSLA,7/27/2018 16:00:00,19.81
TSLA,7/30/2018 16:00:00,19.34
TSLA,7/31/2018 16:00:00,19.88
TSLA,8/1/2018 16:00:00,20.06
